date,Principal Component 1,Principal Component 2
1953-04-01,0.10149657268555122,-0.01488321683824441
1953-05-01,-1.545488268053361,-0.45099030497822284
1953-06-01,-0.16029330435501302,-0.30288458967258625
1953-07-01,1.2113724517596975,0.3646125002531722
1953-08-01,0.16754841925183123,-0.40694434725374257
1953-09-01,0.6471627323455058,0.03529835420247572
1953-10-01,2.423441944599375,-0.5213967581956249
1953-11-01,0.3552937276783836,-0.5115423834888188
1953-12-01,0.9051181799078012,0.25681126457942105
1954-01-01,1.669674399817384,-0.585214510057537
1954-02-01,1.723239152257197,-1.1898498758796627
1954-03-01,0.8708480849741799,0.3534708965339872
1954-04-01,1.1490623299374767,-0.6967231187153992
1954-05-01,-0.006146771490804618,-1.089331930861478
1954-06-01,0.2887874316737597,-0.2954691742072171
1954-07-01,0.6917423352711423,0.4593421510058727
1954-08-01,-0.43144118449351604,0.040278767969011454
1954-09-01,-0.9830531794776796,1.012870413215164
1954-10-01,-0.9722582169408621,0.6983525141372596
1954-11-01,-0.23284550993569264,-0.4191583796438334
1954-12-01,-0.5049567078329484,0.23176461579024477
1955-01-01,-1.5132911812845502,0.5423232791119792
1955-02-01,-0.8378552135349445,0.7030132887737995
1955-03-01,-0.5535119354186292,-0.07992474747167008
1955-04-01,-0.7648942011088543,0.414069840207645
1955-05-01,-0.18365494440444213,0.508500360071853
1955-06-01,-0.053824296785320726,-0.061346099847081635
1955-07-01,-0.8938321869697354,-0.05402539025819251
1955-08-01,-1.2670644736026313,0.8688318559628253
1955-09-01,0.20748623335436628,-0.04381946759070843
1955-10-01,0.6115522095070955,0.3556428660711707
1955-11-01,-0.31962886338579094,0.18877560462862267
1955-12-01,-0.8635625706842907,0.3932118602853046
1956-01-01,0.7768766015267375,-0.17162924932225898
1956-02-01,0.7685278009646704,-0.028087085878089914
1956-03-01,-1.1214350368252386,-0.13661798132546363
1956-04-01,-1.8015003580138207,0.04615107977387631
1956-05-01,0.7348188960440986,0.3581669079318461
1956-06-01,0.8989012979618601,-0.23115060987418584
1956-07-01,-0.6351721073636902,-0.34861419925813636
1956-08-01,-1.8120796991538553,0.10239563685007652
1956-09-01,-0.4851522289323319,0.38045592585403853
1956-10-01,0.5233194275173044,-0.034320491481047065
1956-11-01,-0.8615246990159355,-0.11590284175406645
1956-12-01,-0.7758675571041073,0.16516703731304933
1957-01-01,1.3761910293200712,-0.19608231339774235
1957-02-01,0.5556013808401521,0.3114475053398825
1957-03-01,-0.2549879127333472,-0.13839873290774432
1957-04-01,-0.28807406396195095,-0.07513979489226194
1957-05-01,-0.4089114460742534,-0.35673644432710805
1957-06-01,-0.9820860538192574,-0.205487354914624
1957-07-01,-0.7148052749573559,-0.0693330345324485
1957-08-01,-0.10740169697602543,0.34059517689879415
1957-09-01,0.006133159307320009,0.08701735851628156
1957-10-01,-0.03344815997221791,-0.23575628063216011
1957-11-01,1.8725418872144601,-0.10725173999604681
1957-12-01,3.2004535660021887,0.6210406536000174
1958-01-01,1.7733498899076987,-0.7430226795315488
1958-02-01,1.505021028200295,-1.519703330916688
1958-03-01,1.1368458871794203,-0.2597493703012673
1958-04-01,1.8899502826411012,-1.0575680035622765
1958-05-01,0.4782208076383037,-0.45386741401729447
1958-06-01,0.16121777467646278,-0.8678024162069123
1958-07-01,-2.8716264462507644,1.2261115111519385
1958-08-01,-4.647932578835745,2.52671185773634
1958-09-01,-2.404235549110084,0.7551133977332419
1958-10-01,-0.435867011274847,0.17337002617500555
1958-11-01,0.534692355654921,-0.04279749848937001
1958-12-01,-0.6416513869949925,0.08742976525309062
1959-01-01,-0.7739111348302152,-0.2780284526328323
1959-02-01,0.1305320304319155,0.481437617133888
1959-03-01,-0.09684825455742568,0.04692245565501884
1959-04-01,-0.4667461568042059,-0.13423671712882856
1959-05-01,-0.9892758349437513,-0.04240327990089684
1959-06-01,-0.5116307825439221,0.06995350910157416
1959-07-01,-0.4008643302946177,0.36304132058364774
1959-08-01,0.063861784834652,-0.01548248216636461
1959-09-01,-1.4818318561982258,0.2955229913267272
1959-10-01,0.8700045750288922,0.026626343280810993
1959-11-01,0.009998402857072635,-0.008973887464141139
1959-12-01,-0.9207911211149792,0.06721079104502982
1960-01-01,0.3624745101822704,-0.174240362479348
1960-02-01,1.2168472043564766,-0.055289471663882823
1960-03-01,1.8329114366257984,-0.37659367962463924
1960-04-01,0.10387649322409256,-0.02635969650017291
1960-05-01,-0.6017966296778761,0.0450297542863005
1960-06-01,2.016634668715602,-0.8578161176105441
1960-07-01,1.617256654833944,0.2581451056918503
1960-08-01,1.089924065252037,-0.2661604384979852
1960-09-01,-0.011943260031649364,0.26308418699965436
1960-10-01,-0.3984663550107425,-0.3474095275964707
1960-11-01,-0.16329770538155153,-0.026621381922110967
1960-12-01,0.9529151449281584,-0.25633876714990844
1961-01-01,0.21659578946572247,-0.1389765555409769
1961-02-01,0.026505573197544683,0.40259651469247826
1961-03-01,0.4965311924461477,-0.03170979046134662
1961-04-01,0.11914355235353385,-0.07617062603532605
1961-05-01,0.571927788259077,0.1499103975094085
1961-06-01,-1.5623328068337752,-0.09108978118771457
1961-07-01,0.1912238171062517,-0.42408058784058095
1961-08-01,-0.6510692177885442,0.025575090388017044
1961-09-01,0.356084369506948,0.1278572994935943
1961-10-01,0.5298603861347189,0.11985792189329636
1961-11-01,0.048297580705632726,-0.02822187005781839
1961-12-01,-0.48930099610127825,-0.045116438750269994
1962-01-01,-0.10323994087920677,0.1409723538708065
1962-02-01,0.3556776333849012,0.07517775921723895
