date,Feature 1,date
1963-03-01,-0.018052156128876784,1963-03-01
1963-04-01,-0.2929895401489443,1963-04-01
1963-05-01,0.12041308683868314,1963-05-01
1963-06-01,-0.34144111988116815,1963-06-01
1963-07-01,-0.5554236821822071,1963-07-01
1963-08-01,0.06088432364948662,1963-08-01
1963-09-01,-0.26724080998880884,1963-09-01
1963-10-01,-0.11001294668235952,1963-10-01
1963-11-01,-0.176315431623082,1963-11-01
1963-12-01,-0.10912982211203476,1963-12-01
1964-01-01,-0.05379598800228975,1964-01-01
1964-02-01,0.22629001723353626,1964-02-01
1964-03-01,-0.44592956763921504,1964-03-01
1964-04-01,0.013893074536166332,1964-04-01
1964-05-01,0.4492774471180778,1964-05-01
1964-06-01,0.21795453195274542,1964-06-01
1964-07-01,0.21169816702374575,1964-07-01
1964-08-01,0.03561911709248864,1964-08-01
1964-09-01,-0.1571219009142347,1964-09-01
1964-10-01,0.08386604545895696,1964-10-01
1964-11-01,0.12965034728341815,1964-11-01
1964-12-01,-0.17530982581456783,1964-12-01
1965-01-01,0.16650672750243423,1965-01-01
1965-02-01,-0.15227176594952416,1965-02-01
1965-03-01,-0.0009584864363829625,1965-03-01
1965-04-01,0.12375465201803726,1965-04-01
1965-05-01,0.08131623713177086,1965-05-01
1965-06-01,0.1444937890712225,1965-06-01
1965-07-01,0.09322846474808309,1965-07-01
1965-08-01,-0.22590850291442688,1965-08-01
1965-09-01,-0.24473474115864086,1965-09-01
1965-10-01,-0.3163098462195817,1965-10-01
1965-11-01,-0.4279649719192701,1965-11-01
1965-12-01,-1.1380155282870072,1965-12-01
1966-01-01,-0.2837151460522405,1966-01-01
1966-02-01,-0.5664982072930498,1966-02-01
1966-03-01,0.11649833032446544,1966-03-01
1966-04-01,0.4847662469780135,1966-04-01
1966-05-01,-0.16306184809999044,1966-05-01
1966-06-01,-0.13138553146800003,1966-06-01
1966-07-01,-0.7901236730267696,1966-07-01
1966-08-01,-1.172434832945493,1966-08-01
1966-09-01,-0.10744341135214558,1966-09-01
1966-10-01,0.9388972595559697,1966-10-01
1966-11-01,-0.2602546345500351,1966-11-01
1966-12-01,1.3966179690890295,1966-12-01
1967-01-01,1.48137359589218,1967-01-01
1967-02-01,-0.003690923447371708,1967-02-01
1967-03-01,0.9544714056814175,1967-03-01
1967-04-01,0.2975211923289676,1967-04-01
1967-05-01,-0.9204647955113947,1967-05-01
1967-06-01,-1.0179820848840517,1967-06-01
1967-07-01,-0.8957501399271466,1967-07-01
1967-08-01,-0.4109234576987929,1967-08-01
1967-09-01,-0.27293285641389387,1967-09-01
1967-10-01,-0.5210415518014716,1967-10-01
1967-11-01,-0.7962576750830401,1967-11-01
1967-12-01,0.12016527656932091,1967-12-01
1968-01-01,0.8049067380331445,1968-01-01
1968-02-01,-0.06947500005119417,1968-02-01
1968-03-01,-0.5877187933211792,1968-03-01
1968-04-01,0.24891265825255932,1968-04-01
1968-05-01,-1.0950580220025878,1968-05-01
1968-06-01,0.7519417065355615,1968-06-01
1968-07-01,1.001607737326208,1968-07-01
1968-08-01,0.5087742166589506,1968-08-01
1968-09-01,0.06143460945488125,1968-09-01
1968-10-01,-0.33609617035838024,1968-10-01
1968-11-01,-0.33148762725266256,1968-11-01
1968-12-01,-1.5441766912679007,1968-12-01
1969-01-01,-0.17203361756080945,1969-01-01
1969-02-01,-0.2951182206077195,1969-02-01
1969-03-01,-0.12664958465260182,1969-03-01
1969-04-01,0.4648133990105003,1969-04-01
1969-05-01,-0.591153920067276,1969-05-01
1969-06-01,-0.9185984526922553,1969-06-01
1969-07-01,-0.8813548436122213,1969-07-01
1969-08-01,0.1552030320934732,1969-08-01
1969-09-01,-1.853970226609872,1969-09-01
1969-10-01,0.5003719538359066,1969-10-01
1969-11-01,-0.04832839804395205,1969-11-01
1969-12-01,-1.4663849079250069,1969-12-01
1970-01-01,-0.4472123625862511,1970-01-01
1970-02-01,1.4974706978525267,1970-02-01
1970-03-01,1.6857823608930365,1970-03-01
1970-04-01,-0.9719417453145507,1970-04-01
1970-05-01,-1.8656186728928983,1970-05-01
1970-06-01,0.45649509848774605,1970-06-01
1970-07-01,1.1844079482900385,1970-07-01
1970-08-01,0.16898131488033588,1970-08-01
1970-09-01,0.9390036947422016,1970-09-01
1970-10-01,0.5912177057133751,1970-10-01
1970-11-01,2.534629010470911,1970-11-01
1970-12-01,2.2211214559291474,1970-12-01
1971-01-01,0.7719800336737368,1971-01-01
1971-02-01,1.709679355344185,1971-02-01
1971-03-01,2.4395041899437597,1971-03-01
1971-04-01,-2.633006687209899,1971-04-01
1971-05-01,-3.0831579910605997,1971-05-01
1971-06-01,-1.1622735794768053,1971-06-01
1971-07-01,-1.2274756666907267,1971-07-01
1971-08-01,1.143664379946472,1971-08-01
1971-09-01,1.9628197363996738,1971-09-01
1971-10-01,1.3219215378880114,1971-10-01
1971-11-01,0.7567057218172409,1971-11-01
1971-12-01,0.10997836905523739,1971-12-01
1972-01-01,0.5605420431706893,1972-01-01
1972-02-01,-0.35745479465950825,1972-02-01
1972-03-01,-0.7057367396789088,1972-03-01
1972-04-01,-0.9944088150262391,1972-04-01
1972-05-01,1.081480690247497,1972-05-01
1972-06-01,-0.1959112323047158,1972-06-01
1972-07-01,-0.13596219672518117,1972-07-01
1972-08-01,-0.2074951013055113,1972-08-01
1972-09-01,-1.338007202334341,1972-09-01
1972-10-01,0.32594238018884014,1972-10-01
1972-11-01,0.7776184217251724,1972-11-01
1972-12-01,-0.2595586642029936,1972-12-01
1973-01-01,-0.7713677849839208,1973-01-01
1973-02-01,-0.9895614061390033,1973-02-01
1973-03-01,-0.8439420910669677,1973-03-01
1973-04-01,0.38967804759202973,1973-04-01
1973-05-01,-0.43233526445088144,1973-05-01
1973-06-01,-0.040178311814852444,1973-06-01
1973-07-01,-2.0440232487811536,1973-07-01
1973-08-01,-1.0654796750149453,1973-08-01
1973-09-01,1.787267406273154,1973-09-01
1973-10-01,1.5329551700382562,1973-10-01
1973-11-01,-0.28002690544225745,1973-11-01
1973-12-01,0.5448984765470033,1973-12-01
1974-01-01,-0.5837425699213928,1974-01-01
1974-02-01,0.5457990997487531,1974-02-01
1974-03-01,-1.78997843306021,1974-03-01
1974-04-01,-1.8704731203900111,1974-04-01
1974-05-01,-0.4881486398280505,1974-05-01
1974-06-01,0.3186022560009821,1974-06-01
1974-07-01,-0.8133090030203778,1974-07-01
1974-08-01,-0.8084912985405165,1974-08-01
1974-09-01,0.6856142493774675,1974-09-01
1974-10-01,1.2707699654590423,1974-10-01
1974-11-01,1.0860195808910469,1974-11-01
1974-12-01,1.2377755727306012,1974-12-01
1975-01-01,0.08402766098273849,1975-01-01
1975-02-01,1.321501764910994,1975-02-01
1975-03-01,-0.8379396992264074,1975-03-01
1975-04-01,-2.437969223187886,1975-04-01
1975-05-01,1.0515758510042326,1975-05-01
1975-06-01,0.7975126923920539,1975-06-01
1975-07-01,-1.4255947377544056,1975-07-01
