date,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,date
1953-04-01,1.0012412256349349e-18,-3.4191275769198295e-20,-5.081872502001771e-19,-3.918240837944295e-18,1.6597212805162318e-18,1953-04-01
1953-05-01,-1.5877609503396537,-0.4609239412118182,0.7080793481897434,0.7152362294054964,-0.6591075762038996,1953-05-01
1953-06-01,-0.20270041287012303,-0.31340886959016756,0.06179433093979208,0.084307324737086,-0.19418148672750812,1953-06-01
1953-07-01,1.1688994867153966,0.35355054034709865,-0.589820401475639,-0.4402106791409602,0.5286091588957399,1953-07-01
1953-08-01,0.1250973321706811,-0.4176190299196741,-0.1349659469326922,-0.02510205848737588,-0.09693003081069734,1953-08-01
1953-09-01,0.6047179058501616,0.024454189269268053,-0.42527663237703117,-0.11671180540280209,0.22402560510876432,1953-09-01
1953-10-01,2.3807315514978495,-0.533065728316475,-1.2913766207178046,-1.0145526984074202,0.4330100493593635,1953-10-01
1953-11-01,0.312808169409584,-0.5223099303020943,-0.266097668994353,-0.10599948530497001,-0.17118933027051722,1953-11-01
1953-12-01,0.8626480932998454,0.24586904376733626,-0.24639296641636882,-0.5507603840479803,0.31090612214249747,1953-12-01
1954-01-01,1.62703953571058,-0.5965604469512006,-0.9406487416229803,-0.6662760794303093,0.19233392836368102,1954-01-01
1954-02-01,1.6804951436181645,-1.201281743518659,-0.721021798677967,-1.114791585293375,-0.30284622401304495,1954-02-01
1954-03-01,0.828406376060941,0.3425546057081305,-0.3933357879431483,-0.33662146094370254,0.3730044941607172,1954-03-01
1954-04-01,1.1064961119359515,-0.7078451098162883,-0.9563588781672153,-0.11351445808549916,0.15537820634970143,1954-04-01
1954-05-01,-0.04864905536268051,-1.0999901751665957,-0.29740099967604844,0.2030748165404118,-0.4922611353064531,1954-05-01
1954-06-01,0.24632935206920722,-0.30618942162898055,-0.13153241421536896,-0.1514182107298448,-0.08829892279832555,1954-06-01
1954-07-01,0.6493218243873785,0.44851144465661086,-0.14377724008041068,-0.4168299695522401,0.3601076991961475,1954-07-01
1954-08-01,-0.47379142953027026,0.0298994450977179,0.3747913820273761,0.04417100316673473,-0.18897194257599723,1954-08-01
1954-09-01,-1.0252199342192228,1.0028200640263703,0.6812926059680127,0.42729265257742327,0.1839518620045112,1954-09-01
1954-10-01,-1.0144637807649974,0.688268731211696,0.6180694749211323,0.42228736859499977,-0.004662490938076951,1954-10-01
1954-11-01,-0.27524934827727243,-0.4296586604602439,-0.005074765559862883,0.2271964295301439,-0.20319698306652065,1954-11-01
1954-12-01,-0.5472610911886518,0.22143893230242245,0.29201227512127215,0.27018065066086167,0.00338560208729545,1954-12-01
1955-01-01,-1.5554479888612267,0.5324646695358468,0.8104261210905741,0.7461363255125547,-0.13223745808332713,1955-01-01
1955-02-01,-0.8800750072620712,0.6928714885447419,0.5598734150260761,0.35688301484785584,0.04364005644268756,1955-02-01
1955-03-01,-0.59582324565825,-0.09025064760330265,0.006038560763916368,0.611699183818806,-0.028689104369416157,1955-03-01
1955-04-01,-0.8071619875012328,0.40386897500705643,0.5477574438316201,0.24034740739970015,-0.11570005606464785,1955-04-01
1955-05-01,-0.22598308496179406,0.4980530391099959,0.3820996109942763,-0.13743191994635182,0.077776480418464,1955-05-01
1955-06-01,-0.09621401604585013,-0.07189535386194183,0.03146900877763427,0.051812833945202245,-0.049455811362597975,1955-06-01
1955-07-01,-0.9361353426367071,-0.06420971451722028,0.499036258627644,0.355937118925047,-0.33016682274229375,1955-07-01
1955-08-01,-1.309217721738735,0.8588925782411688,0.8131155170609619,0.540784530271011,0.04029720543527895,1955-08-01
1955-09-01,0.16506475379495703,-0.054482592829768035,-0.04175630051239575,-0.13218347846699904,-0.005340255630078733,1955-09-01
1955-10-01,0.5691348269228419,0.34483949334566033,-0.1940004199151709,-0.29297409955653614,0.31758902796636423,1955-10-01
1955-11-01,-0.36195039891092723,0.1783668381368838,0.0876705925634963,0.3064810680512403,0.05025028595660472,1955-11-01
1955-12-01,-0.9058141112086991,0.3830549953479661,0.5329701473952497,0.37296744286793554,-0.06935673782330623,1955-12-01
1956-01-01,0.7343838661935462,-0.18255049120262645,-0.40691740948482796,-0.30863068991903475,0.11802843337549503,1956-01-01
1956-02-01,0.7260458886897964,-0.03899390833383372,-0.3122812924339086,-0.3917397437571249,0.13965452238074702,1956-02-01
1956-03-01,-1.163703059333419,-0.14670471367975327,0.399581842347253,0.7108028675353917,-0.29503754500966944,1956-03-01
1956-04-01,-1.8436921648649045,0.0363712938699764,0.9488660479750406,0.7737298588342405,-0.5373866023947287,1956-04-01
1956-05-01,0.692387332564352,0.3473097910864053,-0.24213050962457575,-0.3623450228185036,0.34884681391340505,1956-05-01
1956-06-01,0.8563882370127783,-0.2421303427787782,-0.47556302779142,-0.3640446716690783,0.12173559199768035,1956-06-01
1956-07-01,-0.67752837927402,-0.35893429949957617,0.24442204661550948,0.3523357584776013,-0.31920569855454667,1956-07-01
1956-08-01,-1.8542607121444665,0.09262637416903581,0.9335387502796053,0.8166469975474375,-0.48859865232913535,1956-08-01
1956-09-01,-0.5274526649928376,0.3701308502495906,0.39352149912065953,0.13386056160076107,-0.03218838882094826,1956-09-01
1956-10-01,0.48086384157100487,-0.04512068655086141,-0.18887392798613825,-0.2825585636678877,0.08079029550703096,1956-10-01
1956-11-01,-0.9038390059196687,-0.126107080659596,0.47019251862777084,0.34103483822816943,-0.3662345994197178,1956-11-01
1956-12-01,-0.8181535977905812,0.15495184634345086,0.42626237433759584,0.3622946523318182,-0.1645720194278931,1956-12-01
