date,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6
1953-04-01,0.10149657268556081,-0.014883216838269186,-0.012195702464335725,0.029182216493296678,-0.01818965815639368,-0.0018448032511686999
1953-05-01,-1.5454882680533633,-0.45099030497822507,0.7486053409739865,0.7613354819018671,-0.6738448312997434,-0.2002422836782789
1953-06-01,-0.16029330435501857,-0.3028845896725894,0.09527225443950908,0.12869111814067932,-0.22136828349844145,-0.1397241281854272
1953-07-01,1.211372451759695,0.3646125002531695,-0.5639291444606046,-0.4016893042128472,0.49168305255688965,0.19049521838275232
1953-08-01,0.16754841925183173,-0.4069443472537414,-0.10273992946200683,0.019592904360329292,-0.1272468034610167,-0.25264767305649244
1953-09-01,0.6471627323455054,0.03529835420247547,-0.3955366271192026,-0.07517010961439176,0.1927716609622121,0.1921291661745667
1953-10-01,2.423441944599376,-0.5213967581956237,-1.2694415392406815,-0.9689431376574658,0.38324206866875243,0.025654768902207907
1953-11-01,0.35529372767838374,-0.5115423834888183,-0.2343121362526468,-0.05964816743299056,-0.20233182110737222,-0.011814177805301227
1953-12-01,0.9051181799078014,0.25681126457942105,-0.22008257081522764,-0.5112079200004735,0.27296654344917815,-0.07346170631762412
1954-01-01,1.669674399817384,-0.5852145100575358,-0.9148976693649392,-0.6199029231040506,0.14940652812853952,-0.007727441973619745
1954-02-01,1.723239152257198,-1.1898498758796607,-0.6961510942124122,-1.0624092494365218,-0.35236147210249463,-0.25635494893474003
1954-03-01,0.8708480849741795,0.3534708965339871,-0.3659413072236906,-0.29748647222405694,0.3389065519515477,0.2534234246226011
1954-04-01,1.1490623299374771,-0.6967231187153983,-0.9263498013111555,-0.06675546450435056,0.12079867743072373,0.04218040829400177
1954-05-01,-0.006146771490804789,-1.0893319308614764,-0.2618306379211954,0.25422953865742676,-0.5191407353799657,-0.054112407415373195
1954-06-01,0.2887874316737597,-0.2954691742072166,-0.10036974030868313,-0.10708136987653025,-0.11984652502721803,-0.10789728995725971
1954-07-01,0.6917423352711425,0.45934215100587245,-0.11670336422686693,-0.3789146309311243,0.3249897188396935,-0.00244067473801935
1954-08-01,-0.43144118449351604,0.04027876796901131,0.4080275203482367,0.08612036838088323,-0.21507807673415594,-0.12347068240303512
1954-09-01,-0.9830531794776798,1.0128704132151625,0.7156269635074601,0.4610482593665972,0.16620271175560813,0.13291057982913498
1954-10-01,-0.9722582169408627,0.6983525141372583,0.6531724482443546,0.45910847100309893,-0.02252716268303873,0.19596778453251887
1954-11-01,-0.23284550993569256,-0.4191583796438328,0.02950794422210589,0.2722170031689642,-0.2287356520457171,-0.17000716428901896
1954-12-01,-0.5049567078329485,0.23176461579024427,0.3260186719458237,0.3098844861197833,-0.019692759629717647,-0.09911752731200058
1955-01-01,-1.513291181284551,0.5423232791119782,0.8487087202698131,0.7836198294100011,-0.1452583456429971,-0.025292499313171866
1955-02-01,-0.837855213534945,0.7030132887737982,0.5942685353081977,0.39352102828357505,0.024373012781310446,0.16606806519347223
1955-03-01,-0.5535119354186298,-0.07992474747167026,0.042580694995464706,0.653671419089994,-0.04759390582238614,0.031602221803887325
1955-04-01,-0.7648942011088542,0.414069840207644,0.5820587837434834,0.2795491308353699,-0.13714632488166534,0.0751913316365306
1955-05-01,-0.18365494440444197,0.5085003600718524,0.41272937042236457,-0.09940856952405328,0.04927961056791172,-0.058307419552006516
1955-06-01,-0.05382429678532066,-0.06134609984708159,0.06398340054441684,0.0942064679739239,-0.07689243867202777,-0.048492104228349625
1955-07-01,-0.8938321869697357,-0.0540253902581928,0.535247298495194,0.3987863923478103,-0.35076764707815544,-0.07052690125619286
1955-08-01,-1.2670644736026313,0.8688318559628241,0.8490404886009634,0.5757245173723217,0.024533255010796822,0.044312092244500965
1955-09-01,0.2074862333543663,-0.04381946759070836,-0.010840574042209936,-0.08982624798739415,-0.03585779595370924,-0.041566038624095754
1955-10-01,0.6115522095070955,0.35564286607117035,-0.16585164190572615,-0.25419812023348554,0.2842690228873432,0.04686780251319338
1955-11-01,-0.3196288633857912,0.1887756046286222,0.12157011552275,0.3467193362497178,0.027453042606941053,0.08367157640090056
1955-12-01,-0.863562570684291,0.3932118602853036,0.5681069519865305,0.4117611881135594,-0.08938170314425944,-0.03316115768931352
1956-01-01,0.7768766015267377,-0.1716292493222585,-0.37802730360078785,-0.26537108517557284,0.08332164417521591,0.0303562115960542
1956-02-01,0.7685278009646708,-0.02808708587808971,-0.28408601924543153,-0.349483457213778,0.10422638691808198,0.03690571096100731
1956-03-01,-1.1214350368252393,-0.13661798132546396,0.43824055937432005,0.7537525193628678,-0.31080478144000545,-0.05321301048813137
1956-04-01,-1.8015003580138207,0.046151079773875565,0.9892666919034001,0.8160368407283158,-0.5494487833030481,-0.06735786589850434
1956-05-01,0.7348188960440989,0.358166907931846,-0.214651817529601,-0.3236223743754146,0.3142189573621827,0.040218272127435714
1956-06-01,0.8989012979618604,-0.2311506098741853,-0.44712160828056724,-0.3203022114854957,0.08584273716912705,0.027940271266707485
1956-07-01,-0.6351721073636905,-0.34861419925813614,0.2805346273979717,0.3970931203542681,-0.34156243142751797,-0.1615490631410639
1956-08-01,-1.8120796991538555,0.102395636850076,0.9740288412854419,0.8583461964052809,-0.5000769069908698,-0.060981995356348816
1956-09-01,-0.48515222893233206,0.380455925854038,0.4266178673817022,0.173100911945241,-0.05612448990877662,0.04932133126603937
1956-10-01,0.5233194275173048,-0.03432049148104674,-0.15952800254116942,-0.24032254816903384,0.04737678085563244,-0.019199857971257436
