date,Feature 1,Feature 2,date
1953-04-01,1.0012412256349357e-18,-3.4191275769199457e-20,1953-04-01
1953-05-01,-1.5877609503396537,-0.4609239412118177,1953-05-01
1953-06-01,-0.20270041287012303,-0.31340886959016756,1953-06-01
1953-07-01,1.1688994867153968,0.3535505403470984,1953-07-01
1953-08-01,0.12509733217068109,-0.41761902991967426,1953-08-01
1953-09-01,0.6047179058501617,0.024454189269267856,1953-09-01
1953-10-01,2.3807315514978495,-0.5330657283164757,1953-10-01
1953-11-01,0.312808169409584,-0.5223099303020945,1953-11-01
1953-12-01,0.8626480932998454,0.24586904376733607,1953-12-01
1954-01-01,1.6270395357105798,-0.5965604469512011,1954-01-01
1954-02-01,1.6804951436181643,-1.2012817435186594,1954-02-01
1954-03-01,0.828406376060941,0.34255460570813034,1954-03-01
1954-04-01,1.1064961119359515,-0.7078451098162886,1954-04-01
1954-05-01,-0.04864905536268059,-1.0999901751665957,1954-05-01
1954-06-01,0.24632935206920728,-0.3061894216289807,1954-06-01
1954-07-01,0.6493218243873786,0.4485114446566107,1954-07-01
1954-08-01,-0.47379142953027026,0.02989944509771806,1954-08-01
1954-09-01,-1.0252199342192228,1.0028200640263705,1954-09-01
1954-10-01,-1.0144637807649972,0.6882687312116964,1954-10-01
1954-11-01,-0.2752493482772725,-0.42965866046024387,1954-11-01
1954-12-01,-0.5472610911886517,0.22143893230242262,1954-12-01
1955-01-01,-1.5554479888612267,0.5324646695358474,1955-01-01
1955-02-01,-0.8800750072620711,0.6928714885447422,1955-02-01
1955-03-01,-0.59582324565825,-0.0902506476033025,1955-03-01
1955-04-01,-0.8071619875012328,0.4038689750070568,1955-04-01
1955-05-01,-0.225983084961794,0.4980530391099961,1955-05-01
1955-06-01,-0.09621401604585013,-0.07189535386194182,1955-06-01
1955-07-01,-0.9361353426367071,-0.06420971451722,1955-07-01
1955-08-01,-1.309217721738735,0.858892578241169,1955-08-01
1955-09-01,0.165064753794957,-0.0544825928297681,1955-09-01
1955-10-01,0.5691348269228419,0.3448394933456602,1955-10-01
1955-11-01,-0.3619503989109273,0.17836683813688395,1955-11-01
1955-12-01,-0.9058141112086991,0.3830549953479664,1955-12-01
1956-01-01,0.7343838661935461,-0.18255049120262673,1956-01-01
1956-02-01,0.7260458886897964,-0.03899390833383396,1956-02-01
1956-03-01,-1.163703059333419,-0.14670471367975296,1956-03-01
1956-04-01,-1.8436921648649045,0.0363712938699771,1956-04-01
1956-05-01,0.692387332564352,0.34730979108640514,1956-05-01
1956-06-01,0.8563882370127783,-0.2421303427787785,1956-06-01
1956-07-01,-0.67752837927402,-0.358934299499576,1956-07-01
1956-08-01,-1.8542607121444665,0.0926263741690364,1956-08-01
1956-09-01,-0.5274526649928375,0.3701308502495908,1956-09-01
1956-10-01,0.48086384157100487,-0.04512068655086158,1956-10-01
1956-11-01,-0.9038390059196686,-0.12610708065959567,1956-11-01
1956-12-01,-0.8181535977905813,0.1549518463434512,1956-12-01
1957-01-01,1.333619898157622,-0.2072697512235445,1957-01-01
1957-02-01,0.5131974631444038,0.300668274294928,1957-02-01
1957-03-01,-0.29736958933153845,-0.14886865652474912,1957-03-01
1957-04-01,-0.33044535628391286,-0.08558991210574945,1957-04-01
1957-05-01,-0.4513012401693032,-0.36715864035089424,1957-05-01
1957-06-01,-1.0244018175006093,-0.21564830980115632,1957-06-01
1957-07-01,-0.7571261215043418,-0.07959555698491139,1957-07-01
1957-08-01,-0.14974468756708728,0.33010282656342405,1957-08-01
1957-09-01,-0.036242326262156586,0.07645618937611921,1957-09-01
1957-10-01,-0.07586012449822715,-0.2463299592327912,1957-10-01
1957-11-01,1.8299351114733156,-0.11864546380639515,1957-11-01
1957-12-01,3.157784273195271,0.6091318571697115,1957-12-01
1958-01-01,1.7306783194741089,-0.7544294748793144,1958-01-01
1958-02-01,1.462310692143117,-1.5310561011681891,1958-02-01
1958-03-01,1.094290628207543,-0.27083899517461396,1958-03-01
1958-04-01,1.8472355170344472,-1.0690522262419424,1958-04-01
1958-05-01,0.43570865300235356,-0.4646893746207025,1958-05-01
1958-06-01,0.1187270294527011,-0.8785123350117805,1958-06-01
1958-07-01,-2.913571394030966,1.2169012091814109,1958-07-01
1958-08-01,-4.689542787156839,2.5183882541926326,1958-08-01
1958-09-01,-2.446265365322932,0.7456638998158005,1958-09-01
1958-10-01,-0.4781816138755806,0.16300953897375423,1958-10-01
1958-11-01,0.4922415686566726,-0.05360162244760005,1958-11-01
1958-12-01,-0.6839709042122932,0.0771464856408964,1958-12-01
1959-01-01,-0.8162450923614052,-0.2882826367062977,1959-01-01
1959-02-01,0.0881802779801577,0.47085445271716925,1959-02-01
1959-03-01,-0.13922346094806634,0.03640047271042102,1959-03-01
1959-04-01,-0.509111335644695,-0.14461570120063796,1959-04-01
1959-05-01,-1.0315671177819696,-0.05254485288003068,1959-05-01
1959-06-01,-0.5539326504910619,0.05962153874827796,1959-06-01
1959-07-01,-0.4431800821764058,0.3526772459136286,1959-07-01
1959-08-01,0.021457180861263143,-0.026081497151295447,1959-08-01
1959-09-01,-1.5240352539317157,0.28562458028337173,1959-09-01
1959-10-01,0.8275261294708288,0.015682670532782307,1959-10-01
1959-11-01,-0.032386431604203764,-0.019544913480358066,1959-11-01
1959-12-01,-0.963071063061078,0.05705105367581123,1959-12-01
1960-01-01,0.3200106226093483,-0.1849860919727409,1960-01-01
1960-02-01,1.1743303695482612,-0.06638874809570038,1960-02-01
1960-03-01,1.7902801120728042,-0.38799337815537743,1960-03-01
