date,Principal Component 1,Principal Component 2,Principal Component 3
1953-04-01,0.10149657268554618,-0.014883216838275067,-0.012195702464298023
1953-05-01,-1.5454882680533613,-0.4509903049782246,0.7486053409739742
1953-06-01,-0.16029330435501327,-0.30288458967258597,0.09527225443950577
1953-07-01,1.211372451759698,0.36461250025317166,-0.5639291444606066
1953-08-01,0.16754841925183075,-0.4069443472537422,-0.10273992946200625
1953-09-01,0.6471627323455057,0.035298354202475526,-0.39553662711920284
1953-10-01,2.4234419445993756,-0.5213967581956255,-1.2694415392406802
1953-11-01,0.35529372767838335,-0.5115423834888186,-0.2343121362526464
1953-12-01,0.9051181799078012,0.2568112645794206,-0.22008257081522759
1954-01-01,1.6696743998173835,-0.585214510057537,-0.9148976693649388
1954-02-01,1.7232391522571968,-1.1898498758796625,-0.6961510942124115
1954-03-01,0.87084808497418,0.35347089653398667,-0.36594130722369084
1954-04-01,1.1490623299374765,-0.6967231187153989,-0.926349801311155
1954-05-01,-0.006146771490805211,-1.0893319308614766,-0.2618306379211947
1954-06-01,0.28878743167375953,-0.2954691742072169,-0.10036974030868286
1954-07-01,0.6917423352711424,0.45934215100587233,-0.11670336422686696
1954-08-01,-0.4314411844935161,0.04027876796901152,0.4080275203482366
1954-09-01,-0.9830531794776793,1.012870413215164,0.7156269635074591
1954-10-01,-0.9722582169408621,0.6983525141372594,0.6531724482443539
1954-11-01,-0.2328455099356931,-0.419158379643833,0.029507944222105998
1954-12-01,-0.5049567078329487,0.23176461579024474,0.32601867194582357
1955-01-01,-1.5132911812845504,0.5423232791119793,0.8487087202698121
1955-02-01,-0.837855213534944,0.7030132887737992,0.5942685353081971
1955-03-01,-0.5535119354186296,-0.07992474747166978,0.042580694995464484
1955-04-01,-0.7648942011088541,0.41406984020764476,0.5820587837434827
1955-05-01,-0.18365494440444177,0.5085003600718527,0.4127293704223643
1955-06-01,-0.053824296785320844,-0.06134609984708159,0.06398340054441687
1955-07-01,-0.8938321869697354,-0.05402539025819221,0.5352472984951938
1955-08-01,-1.267064473602631,0.8688318559628256,0.8490404886009628
1955-09-01,0.20748623335436625,-0.04381946759070845,-0.010840574042209844
1955-10-01,0.6115522095070955,0.3556428660711702,-0.1658516419057262
1955-11-01,-0.3196288633857911,0.1887756046286226,0.1215701155227497
1955-12-01,-0.8635625706842908,0.3932118602853045,0.5681069519865303
1956-01-01,0.776876601526737,-0.171629249322259,-0.3780273036007876
1956-02-01,0.7685278009646705,-0.02808708587809011,-0.28408601924543136
1956-03-01,-1.1214350368252395,-0.13661798132546324,0.43824055937431977
1956-04-01,-1.80150035801382,0.046151079773876606,0.9892666919034002
1956-05-01,0.7348188960440988,0.3581669079318458,-0.21465181752960114
1956-06-01,0.8989012979618605,-0.23115060987418595,-0.44712160828056674
1956-07-01,-0.6351721073636908,-0.3486141992581359,0.2805346273979715
1956-08-01,-1.8120796991538553,0.10239563685007712,0.9740288412854412
1956-09-01,-0.4851522289323317,0.3804559258540384,0.4266178673817019
1956-10-01,0.5233194275173043,-0.03432049148104711,-0.15952800254116928
1956-11-01,-0.8615246990159356,-0.11590284175406626,0.5064273281574166
1956-12-01,-0.7758675571041074,0.16516703731304946,0.46169794415150034
1957-01-01,1.3761910293200712,-0.19608231339774243,-0.5749584502320174
1957-02-01,0.555601380840152,0.3114475053398822,-0.26582767254056633
1957-03-01,-0.2549879127333473,-0.13839873290774418,0.19700340490687987
1957-04-01,-0.28807406396195095,-0.07513979489226182,0.22739953940527968
1957-05-01,-0.40891144607425356,-0.3567364443271078,0.22918081957323339
1957-06-01,-0.9820860538192574,-0.2054873549146236,0.5894653885130655
1957-07-01,-0.7148052749573559,-0.06933303453244816,0.4132269928455112
1957-08-01,-0.10740169697602522,0.3405951768987939,0.19934430801030895
1957-09-01,0.006133159307319921,0.08701735851628158,0.02485081718387667
1957-10-01,-0.03344815997221806,-0.23575628063215992,0.018550700513148666
1957-11-01,1.8725418872144604,-0.10725173999604727,-0.8928977107877816
1957-12-01,3.20045356600219,0.6210406536000164,-1.417808449447877
1958-01-01,1.7733498899076983,-0.7430226795315482,-0.9107748296922514
1958-02-01,1.5050210282002938,-1.5197033309166876,-1.1364517218227501
1958-03-01,1.1368458871794203,-0.25974937030126755,-0.4401115895831552
1958-04-01,1.8899502826411005,-1.0575680035622768,-1.0940845290977903
1958-05-01,0.4782208076383039,-0.45386741401729447,-0.09733735429376801
1958-06-01,0.16121777467646223,-0.8678024162069118,-0.33402013370107675
1958-07-01,-2.8716264462507635,1.2261115111519392,1.7930935008099764
1958-08-01,-4.647932578835744,2.5267118577363403,2.9858357107417874
1958-09-01,-2.4042355491100835,0.7551133977332423,1.2893561687214312
1958-10-01,-0.43586701127484706,0.17337002617500563,0.21955997619728035
1958-11-01,0.5346923556549212,-0.04279749848937011,-0.24352459766484424
1958-12-01,-0.6416513869949922,0.08742976525309061,0.4832060090454853
1959-01-01,-0.7739111348302156,-0.2780284526328318,0.35397849433071704
1959-02-01,0.13053203043191583,0.4814376171338876,0.10130979893896441
1959-03-01,-0.09684825455742567,0.04692245565501885,0.12069797223166316
1959-04-01,-0.46674615680420595,-0.13423671712882845,0.38251678234333913
1959-05-01,-0.9892758349437513,-0.04240327990089664,0.5862050904989377
1959-06-01,-0.5116307825439225,0.0699535091015743,0.07546721479853795
1959-07-01,-0.4008643302946175,0.36304132058364763,0.4373113502786194
1959-08-01,0.06386178483465207,-0.015482482166364647,0.07244269856823378
1959-09-01,-1.4818318561982258,0.2955229913267272,0.9346750122458719
