date,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,date
1953-04-01,1.0012412256349355e-18,-3.4191275769198295e-20,-5.081872502001788e-19,-3.918240837944295e-18,1.6597212805162374e-18,5.000593329363446e-18,1953-04-01
1953-05-01,-1.5877609503396537,-0.46092394121181834,0.7080793481897436,0.7152362294054962,-0.6591075762038997,-0.19879172463015204,1953-05-01
1953-06-01,-0.202700412870123,-0.3134088695901676,0.061794330939792294,0.08430732473708603,-0.19418148672750815,-0.13460394325073455,1953-06-01
1953-07-01,1.1688994867153966,0.35355054034709876,-0.5898204014756391,-0.44021067914096024,0.5286091588957399,0.20019854977729662,1953-07-01
1953-08-01,0.12509733217068117,-0.41761902991967415,-0.1349659469326919,-0.02510205848737585,-0.09693003081069741,-0.24675069594732688,1953-08-01
1953-09-01,0.6047179058501617,0.024454189269268057,-0.4252766323770311,-0.11671180540280207,0.22402560510876446,0.19980050737080696,1953-09-01
1953-10-01,2.38073155149785,-0.5330657283164748,-1.2913766207178041,-1.0145526984074202,0.43301004935936377,0.03656494127511175,1953-10-01
1953-11-01,0.3128081694095841,-0.5223099303020944,-0.2660976689943526,-0.10599948530497,-0.17118933027051705,-0.00598449891281139,1953-11-01
1953-12-01,0.8626480932998454,0.2458690437673364,-0.24639296641636887,-0.5507603840479803,0.3109061221424975,-0.0647634469012415,1953-12-01
1954-01-01,1.6270395357105802,-0.5965604469512005,-0.9406487416229796,-0.6662760794303094,0.19233392836368127,0.0012304285002517003,1954-01-01
1954-02-01,1.680495143618165,-1.201281743518659,-0.7210217986779658,-1.1147915852933752,-0.30284622401304456,-0.24887439239143266,1954-02-01
1954-03-01,0.828406376060941,0.3425546057081306,-0.39333578794314844,-0.33662146094370254,0.37300449416071735,0.26211087243591474,1954-03-01
1954-04-01,1.1064961119359518,-0.7078451098162882,-0.9563588781672147,-0.1135144580854991,0.15537820634970154,0.0499789896085571,1954-04-01
1954-05-01,-0.048649055362680306,-1.099990175166596,-0.2974009996760476,0.20307481654041185,-0.49226113530645293,-0.050201425257774296,1954-05-01
1954-06-01,0.24632935206920734,-0.3061894216289806,-0.1315324142153687,-0.15141821072984482,-0.0882989227983255,-0.10173585083859557,1954-06-01
1954-07-01,0.6493218243873785,0.44851144465661097,-0.14377724008041096,-0.41682996955224016,0.3601076991961475,0.0061403085336859215,1954-07-01
1954-08-01,-0.47379142953027037,0.029899445097717883,0.37479138202737605,0.04417100316673472,-0.18897194257599728,-0.11850602368804397,1954-08-01
1954-09-01,-1.025219934219223,1.00282006402637,0.6812926059680119,0.42729265257742327,0.18395186200451097,0.13852526161988316,1954-09-01
1954-10-01,-1.0144637807649974,0.6882687312116961,0.6180694749211317,0.42228736859499977,-0.004662490938077048,0.2008324097580297,1954-10-01
1954-11-01,-0.2752493482772724,-0.429658660460244,-0.005074765559862623,0.227196429530144,-0.20319698306652073,-0.165133543001137,1954-11-01
1954-12-01,-0.547261091188652,0.22143893230242243,0.2920122751212719,0.2701806506608617,0.0033856020872952536,-0.09367526918632252,1954-12-01
1955-01-01,-1.555447988861227,0.5324646695358467,0.8104261210905737,0.7461363255125548,-0.13223745808332737,-0.021721241262405412,1955-01-01
1955-02-01,-0.8800750072620713,0.6928714885447419,0.5598734150260753,0.3568830148478558,0.04364005644268741,0.171306809479291,1955-02-01
1955-03-01,-0.59582324565825,-0.0902506476033027,0.006038560763916345,0.6116991838188061,-0.028689104369416334,0.03650947549373439,1955-03-01
1955-04-01,-0.807161987501233,0.4038689750070565,0.5477574438316197,0.24034740739970017,-0.11570005606464788,0.07997034439960785,1955-04-01
1955-05-01,-0.2259830849617942,0.498053039109996,0.3820996109942759,-0.13743191994635187,0.0777764804184639,-0.05187170351875334,1955-05-01
1955-06-01,-0.09621401604585013,-0.07189535386194186,0.03146900877763431,0.05181283394520225,-0.049455811362597996,-0.04266775562805666,1955-06-01
1955-07-01,-0.9361353426367071,-0.06420971451722038,0.49903625862764395,0.35593711892504704,-0.33016682274229386,-0.06683966102748826,1955-07-01
1955-08-01,-1.3092177217387353,0.8588925782411685,0.8131155170609611,0.540784530271011,0.040297205435278684,0.048997280225812366,1955-08-01
1955-09-01,0.16506475379495703,-0.05448259282976804,-0.041756300512395685,-0.13218347846699904,-0.005340255630078703,-0.035156493875189966,1955-09-01
1955-10-01,0.5691348269228418,0.34483949334566044,-0.19400041991517106,-0.2929740995565362,0.31758902796636423,0.05507925347994017,1955-10-01
1955-11-01,-0.36195039891092723,0.17836683813688384,0.0876705925634961,0.30648106805124037,0.05025028595660465,0.08941087118620418,1955-11-01
1955-12-01,-0.9058141112086994,0.38305499534796605,0.5329701473952493,0.37296744286793554,-0.06935673782330638,-0.028413445031738368,1955-12-01
1956-01-01,0.7343838661935463,-0.18255049120262645,-0.40691740948482774,-0.3086306899190348,0.11802843337549515,0.03791103051927954,1956-01-01
1956-02-01,0.7260458886897965,-0.038993908333833684,-0.3122812924339085,-0.3917397437571249,0.13965452238074713,0.044629589318277006,1956-02-01
1956-03-01,-1.163703059333419,-0.14670471367975332,0.399581842347253,0.7108028675353917,-0.2950375450096696,-0.04994557030819686,1956-03-01
1956-04-01,-1.8436921648649047,0.0363712938699764,0.9488660479750405,0.7737298588342404,-0.5373866023947289,-0.06568661651366363,1956-04-01
1956-05-01,0.6923873325643519,0.3473097910864054,-0.2421305096245759,-0.36234502281850367,0.34884681391340505,0.04872967687948223,1956-05-01
