date,GS7
1993-09-01,5.08
1993-10-01,5.05
1993-11-01,5.45
1993-12-01,5.48
1994-01-01,5.43
1994-02-01,5.72
1994-03-01,6.28
1994-04-01,6.8
1994-05-01,7.01
1994-06-01,6.91
1994-07-01,7.12
1994-08-01,7.06
1994-09-01,7.28
1994-10-01,7.58
1994-11-01,7.83
1994-12-01,7.8
1995-01-01,7.79
1995-02-01,7.44
1995-03-01,7.14
1995-04-01,6.95
1995-05-01,6.5
1995-06-01,6.05
1995-07-01,6.2
1995-08-01,6.41
1995-09-01,6.13
1995-10-01,5.97
1995-11-01,5.83
1995-12-01,5.63
1996-01-01,5.54
1996-02-01,5.64
1996-03-01,6.19
1996-04-01,6.48
1996-05-01,6.66
1996-06-01,6.83
1996-07-01,6.76
1996-08-01,6.52
1996-09-01,6.73
1996-10-01,6.42
1996-11-01,6.1
1996-12-01,6.2
1997-01-01,6.47
1997-02-01,6.32
1997-03-01,6.65
1997-04-01,6.86
1997-05-01,6.66
1997-06-01,6.46
1997-07-01,6.2
1997-08-01,6.29
1997-09-01,6.2
1997-10-01,6.05
1997-11-01,5.9
1997-12-01,5.83
1998-01-01,5.53
1998-02-01,5.6
1998-03-01,5.71
1998-04-01,5.7
1998-05-01,5.72
1998-06-01,5.56
1998-07-01,5.52
1998-08-01,5.36
1998-09-01,4.76
1998-10-01,4.46
1998-11-01,4.78
1998-12-01,4.65
1999-01-01,4.8
1999-02-01,5.1
1999-03-01,5.36
1999-04-01,5.28
1999-05-01,5.64
1999-06-01,6.05
1999-07-01,5.94
1999-08-01,6.15
1999-09-01,6.12
1999-10-01,6.33
1999-11-01,6.17
1999-12-01,6.38
2000-01-01,6.7
2000-02-01,6.72
2000-03-01,6.51
2000-04-01,6.27
2000-05-01,6.69
2000-06-01,6.33
2000-07-01,6.22
2000-08-01,6.05
2000-09-01,5.98
2000-10-01,5.84
2000-11-01,5.78
2000-12-01,5.28
2001-01-01,5.13
2001-02-01,5.1
2001-03-01,4.88
