date,GS1,GS1_CHG,GS2,GS2_CHG,GS3,GS3_CHG,GS5,GS5_CHG,GS7,GS7_CHG,GS10,GS10_CHG
1953-04-01,2.36,,,,2.51,,2.62,,,,2.83,
1953-05-01,2.48,0.05084745762711873,,,2.72,0.08366533864541847,2.87,0.09541984732824438,,,3.05,0.07773851590105996
1953-06-01,2.45,-0.012096774193548265,,,2.74,0.007352941176470562,2.94,0.024390243902439046,,,3.11,0.01967213114754096
1953-07-01,2.38,-0.028571428571428692,,,2.62,-0.04379562043795626,2.75,-0.06462585034013602,,,2.93,-0.05787781350482302
1953-08-01,2.28,-0.04201680672268915,,,2.58,-0.01526717557251911,2.8,0.018181818181818077,,,2.95,0.006825938566553003
1953-09-01,2.2,-0.0350877192982455,,,2.56,-0.007751937984496138,2.71,-0.03214285714285714,,,2.87,-0.027118644067796627
1953-10-01,1.79,-0.1863636363636364,,,2.23,-0.12890625,2.43,-0.10332103321033204,,,2.66,-0.07317073170731703
1953-11-01,1.67,-0.06703910614525144,,,2.2,-0.013452914798206206,2.42,-0.004115226337448652,,,2.68,0.007518796992481258
1953-12-01,1.66,-0.005988023952095856,,,2.07,-0.059090909090909194,2.32,-0.04132231404958686,,,2.59,-0.03358208955223896
1954-01-01,1.41,-0.1506024096385542,,,1.89,-0.08695652173913038,2.17,-0.06465517241379304,,,2.48,-0.042471042471042386
1954-02-01,1.14,-0.19148936170212771,,,1.63,-0.13756613756613756,2.04,-0.05990783410138245,,,2.47,-0.004032258064516014
1954-03-01,1.13,-0.00877192982456143,,,1.59,-0.024539877300613355,1.93,-0.05392156862745101,,,2.37,-0.04048582995951422
1954-04-01,0.96,-0.1504424778761061,,,1.54,-0.03144654088050314,1.87,-0.031088082901554293,,,2.29,-0.03375527426160341
1954-05-01,0.85,-0.11458333333333337,,,1.56,0.012987012987013102,1.92,0.026737967914438387,,,2.37,0.03493449781659397
1954-06-01,0.82,-0.03529411764705881,,,1.53,-0.019230769230769273,1.92,0.0,,,2.38,0.00421940928270037
1954-07-01,0.84,0.024390243902439046,,,1.47,-0.03921568627450989,1.85,-0.03645833333333326,,,2.3,-0.03361344537815125
1954-08-01,0.88,0.04761904761904767,,,1.49,0.013605442176870763,1.9,0.027027027027026973,,,2.36,0.026086956521739202
1954-09-01,1.03,0.17045454545454541,,,1.6,0.0738255033557047,1.96,0.03157894736842115,,,2.38,0.008474576271186418
1954-10-01,1.17,0.13592233009708732,,,1.72,0.07499999999999996,2.02,0.030612244897959107,,,2.43,0.021008403361344685
1954-11-01,1.14,-0.02564102564102566,,,1.75,0.01744186046511631,2.09,0.034653465346534684,,,2.48,0.020576131687242816
1954-12-01,1.21,0.06140350877192979,,,1.81,0.03428571428571425,2.16,0.03349282296650724,,,2.51,0.012096774193548265
1955-01-01,1.39,0.14876033057851235,,,1.99,0.09944751381215466,2.32,0.07407407407407396,,,2.61,0.03984063745019917
1955-02-01,1.57,0.12949640287769792,,,2.12,0.0653266331658291,2.38,0.02586206896551735,,,2.65,0.015325670498084198
1955-03-01,1.59,0.01273885350318471,,,2.26,0.06603773584905648,2.48,0.04201680672268915,,,2.68,0.01132075471698113
1955-04-01,1.75,0.10062893081761004,,,2.37,0.0486725663716816,2.55,0.028225806451612767,,,2.75,0.026119402985074647
1955-05-01,1.9,0.08571428571428563,,,2.37,0.0,2.56,0.0039215686274509665,,,2.76,0.0036363636363636598
1955-06-01,1.91,0.0052631578947368585,,,2.39,0.00843881856540074,2.59,0.01171875,,,2.78,0.007246376811594235
1955-07-01,2.02,0.05759162303664933,,,2.51,0.05020920502092041,2.72,0.050193050193050315,,,2.9,0.043165467625899234
1955-08-01,2.37,0.1732673267326732,,,2.72,0.08366533864541847,2.86,0.051470588235293935,,,2.97,0.024137931034482918
1955-09-01,2.36,-0.0042194092827004814,,,2.69,-0.011029411764705954,2.85,-0.0034965034965034336,,,2.97,0.0
1955-10-01,2.39,0.01271186440677985,,,2.62,-0.026022304832713727,2.76,-0.03157894736842115,,,2.88,-0.030303030303030387
1955-11-01,2.48,0.03765690376569042,,,2.73,0.041984732824427384,2.81,0.018115942028985588,,,2.89,0.003472222222222321
1955-12-01,2.73,0.10080645161290325,,,2.88,0.05494505494505497,2.93,0.04270462633451966,,,2.96,0.02422145328719716
1956-01-01,2.58,-0.05494505494505486,,,2.78,-0.03472222222222221,2.84,-0.03071672354948818,,,2.9,-0.020270270270270285
1956-02-01,2.49,-0.03488372093023251,,,2.67,-0.03956834532374098,2.74,-0.035211267605633645,,,2.84,-0.020689655172413834
1956-03-01,2.61,0.04819277108433728,,,2.89,0.08239700374531833,2.93,0.06934306569343063,,,2.96,0.04225352112676051
1956-04-01,2.92,0.11877394636015337,,,3.19,0.10380622837370246,3.2,0.0921501706484642,,,3.18,0.07432432432432434
1956-05-01,2.94,0.006849315068493178,,,3.08,-0.03448275862068961,3.08,-0.03749999999999998,,,3.07,-0.03459119496855356
1956-06-01,2.74,-0.0680272108843537,,,2.95,-0.04220779220779214,2.97,-0.0357142857142857,,,3.0,-0.02280130293159599
1956-07-01,2.76,0.007299270072992581,,,3.06,0.037288135593220195,3.12,0.050505050505050386,,,3.11,0.036666666666666625
1956-08-01,3.1,0.12318840579710155,,,3.39,0.10784313725490202,3.41,0.09294871794871806,,,3.33,0.07073954983922826
1956-09-01,3.35,0.08064516129032251,,,3.5,0.032448377581120846,3.47,0.017595307917888547,,,3.38,0.01501501501501501
1956-10-01,3.28,-0.020895522388059806,,,3.4,-0.02857142857142858,3.4,-0.02017291066282434,,,3.34,-0.01183431952662728
1956-11-01,3.44,0.04878048780487809,,,3.57,0.050000000000000044,3.56,0.04705882352941182,,,3.49,0.04491017964071875
1956-12-01,3.68,0.06976744186046524,,,3.76,0.053221288515406195,3.7,0.0393258426966292,,,3.59,0.02865329512893977
1957-01-01,3.37,-0.0842391304347826,,,3.46,-0.07978723404255317,3.47,-0.06216216216216219,,,3.46,-0.03621169916434541
1957-02-01,3.38,0.0029673590504450953,,,3.42,-0.011560693641618491,3.39,-0.023054755043227737,,,3.34,-0.034682080924855474
1957-03-01,3.42,0.01183431952662728,,,3.47,0.014619883040935644,3.46,0.020648967551622377,,,3.41,0.020958083832335328
1957-04-01,3.49,0.02046783625731008,,,3.53,0.01729106628242061,3.53,0.02023121387283222,,,3.48,0.02052785923753664
1957-05-01,3.48,-0.002865329512894088,,,3.61,0.022662889518413554,3.64,0.031161473087818692,,,3.6,0.034482758620689724
1957-06-01,3.65,0.04885057471264376,,,3.8,0.05263157894736836,3.83,0.052197802197802234,,,3.8,0.05555555555555558
1957-07-01,3.81,0.043835616438356206,,,3.96,0.04210526315789487,4.0,0.044386422976501194,,,3.93,0.03421052631578947
1957-08-01,4.01,0.052493438320209806,,,4.02,0.015151515151515138,4.0,0.0,,,3.93,0.0
