date,Principal Component 1
1953-04-01,0.10149657268554457
1953-05-01,-1.54548826805336
1953-06-01,-0.16029330435501268
1953-07-01,1.2113724517596969
1953-08-01,0.16754841925183125
1953-09-01,0.6471627323455056
1953-10-01,2.4234419445993742
1953-11-01,0.3552937276783838
1953-12-01,0.9051181799078002
1954-01-01,1.6696743998173835
1954-02-01,1.7232391522571968
1954-03-01,0.870848084974179
1954-04-01,1.149062329937477
1954-05-01,-0.0061467714908036005
1954-06-01,0.28878743167375975
1954-07-01,0.6917423352711415
1954-08-01,-0.4314411844935159
1954-09-01,-0.9830531794776795
1954-10-01,-0.9722582169408621
1954-11-01,-0.23284550993569222
1954-12-01,-0.5049567078329483
1955-01-01,-1.5132911812845498
1955-02-01,-0.8378552135349441
1955-03-01,-0.5535119354186285
1955-04-01,-0.7648942011088541
1955-05-01,-0.18365494440444236
1955-06-01,-0.05382429678532062
1955-07-01,-0.8938321869697347
1955-08-01,-1.267064473602631
1955-09-01,0.20748623335436617
1955-10-01,0.6115522095070948
1955-11-01,-0.31962886338579094
1955-12-01,-0.8635625706842905
1956-01-01,0.7768766015267371
1956-02-01,0.7685278009646701
1956-03-01,-1.1214350368252382
1956-04-01,-1.8015003580138196
1956-05-01,0.734818896044098
1956-06-01,0.89890129796186
1956-07-01,-0.6351721073636898
1956-08-01,-1.812079699153854
1956-09-01,-0.48515222893233173
1956-10-01,0.5233194275173042
1956-11-01,-0.8615246990159349
1956-12-01,-0.775867557104107
1957-01-01,1.3761910293200705
1957-02-01,0.5556013808401513
1957-03-01,-0.254987912733347
1957-04-01,-0.2880740639619507
1957-05-01,-0.40891144607425284
1957-06-01,-0.9820860538192565
1957-07-01,-0.7148052749573554
1957-08-01,-0.10740169697602552
1957-09-01,0.006133159307319964
1957-10-01,-0.03344815997221765
1957-11-01,1.8725418872144592
1957-12-01,3.200453566002187
1958-01-01,1.7733498899076983
1958-02-01,1.5050210282002956
1958-03-01,1.1368458871794198
1958-04-01,1.8899502826411003
1958-05-01,0.4782208076383038
1958-06-01,0.16121777467646345
1958-07-01,-2.871626446250763
1958-08-01,-4.647932578835744
1958-09-01,-2.404235549110084
1958-10-01,-0.43586701127484667
1958-11-01,0.5346923556549209
1958-12-01,-0.641651386994992
1959-01-01,-0.7739111348302147
1959-02-01,0.13053203043191516
1959-03-01,-0.09684825455742559
1959-04-01,-0.46674615680420556
1959-05-01,-0.9892758349437505
1959-06-01,-0.5116307825439219
1959-07-01,-0.4008643302946178
1959-08-01,0.06386178483465206
1959-09-01,-1.481831856198225
1959-10-01,0.8700045750288916
1959-11-01,0.00999840285707271
1959-12-01,-0.9207911211149784
1960-01-01,0.36247451018227034
1960-02-01,1.2168472043564762
1960-03-01,1.8329114366257975
1960-04-01,0.1038764932240926
1960-05-01,-0.6017966296778755
1960-06-01,2.0166346687156014
1960-07-01,1.6172566548339429
1960-08-01,1.0899240652520368
1960-09-01,-0.011943260031649479
1960-10-01,-0.398466355010742
1960-11-01,-0.16329770538155136
1960-12-01,0.9529151449281579
1961-01-01,0.21659578946572244
1961-02-01,0.02650557319754445
1961-03-01,0.49653119244614724
1961-04-01,0.11914355235353394
1961-05-01,0.5719277882590768
1961-06-01,-1.5623328068337734
1961-07-01,0.19122381710625186
1961-08-01,-0.6510692177885437
1961-09-01,0.3560843695069476
1961-10-01,0.5298603861347184
1961-11-01,0.048297580705632726
1961-12-01,-0.4893009961012778
1962-01-01,-0.10323994087920678
1962-02-01,0.355677633384901
1962-03-01,1.1415331415459644
1962-04-01,0.5802873789526389
1962-05-01,-0.09835375300654396
1962-06-01,0.09103964853690229
1962-07-01,-0.8973731772680912
1962-08-01,0.6051377705071289
1962-09-01,0.3377403409963761
1962-10-01,0.4975448012096877
1962-11-01,0.0828952462997319
1962-12-01,0.33055786933221903
1963-01-01,0.07539487823326417
1963-02-01,-0.13443607123090243
1963-03-01,0.02433939259129205
1963-04-01,-0.25063707976676497
1963-05-01,0.16280027667963926
1963-06-01,-0.2990828073010802
1963-07-01,-0.5131453731015972
1963-08-01,0.10327032555222207
1963-09-01,-0.22485641107235166
1963-10-01,-0.06763504110614513
1963-11-01,-0.13395982233081308
1963-12-01,-0.06675946019464483
1964-01-01,-0.01139169989420964
1964-02-01,0.26870954111282
1964-03-01,-0.40358986981276945
1964-04-01,0.056290929869312716
1964-05-01,0.4917338794479274
1964-06-01,0.2603685740485886
1964-07-01,0.25414995895908987
1964-08-01,0.07801615052501243
1964-09-01,-0.11476375737146745
1964-10-01,0.12626363102128202
1964-11-01,0.17203669077159764
1964-12-01,-0.1329424283046516
1965-01-01,0.20894150289477528
1965-02-01,-0.10990362454096951
1965-03-01,0.04142769049102132
1965-04-01,0.16616465508876968
1965-05-01,0.12372725466605462
1965-06-01,0.18691463873387829
1965-07-01,0.1356315377763121
1965-08-01,-0.18353986517955173
1965-09-01,-0.20237812104503203
1965-10-01,-0.2739503675500131
1965-11-01,-0.385602903000231
1965-12-01,-1.095766332007457
1966-01-01,-0.24138236893944487
1966-02-01,-0.5241109827047454
1966-03-01,0.158920249182539
1966-04-01,0.527193784027357
1966-05-01,-0.12068768610008303
1966-06-01,-0.08900332668981309
1966-07-01,-0.7477902480733958
1966-08-01,-1.1301835785879275
1966-09-01,-0.06510795412493885
1966-10-01,0.981394308742638
1966-11-01,-0.2178423722342864
1966-12-01,1.4391363385681986
1967-01-01,1.5239385752057133
1967-02-01,0.03872781353860888
1967-03-01,0.9970106181005189
1967-04-01,0.340006499008906
1967-05-01,-0.8781137481315225
