date,Feature 1,Feature 2,Feature 3,date
1953-04-01,1.001241225634936e-18,-3.419127576919888e-20,-5.081872502001813e-19,1953-04-01
1953-05-01,-1.5877609503396535,-0.4609239412118183,0.7080793481897439,1953-05-01
1953-06-01,-0.2027004128701229,-0.3134088695901675,0.06179433093979234,1953-06-01
1953-07-01,1.1688994867153966,0.35355054034709865,-0.5898204014756394,1953-07-01
1953-08-01,0.12509733217068125,-0.41761902991967403,-0.1349659469326919,1953-08-01
1953-09-01,0.6047179058501617,0.024454189269267963,-0.4252766323770312,1953-09-01
1953-10-01,2.3807315514978495,-0.5330657283164747,-1.2913766207178046,1953-10-01
1953-11-01,0.3128081694095842,-0.5223099303020943,-0.2660976689943528,1953-11-01
1953-12-01,0.8626480932998453,0.2458690437673365,-0.24639296641636915,1953-12-01
1954-01-01,1.6270395357105802,-0.5965604469512005,-0.9406487416229801,1954-01-01
1954-02-01,1.6804951436181648,-1.2012817435186582,-0.7210217986779665,1954-02-01
1954-03-01,0.8284063760609409,0.3425546057081305,-0.39333578794314866,1954-03-01
1954-04-01,1.106496111935952,-0.7078451098162881,-0.9563588781672149,1954-04-01
1954-05-01,-0.048649055362679966,-1.0999901751665957,-0.29740099967604755,1954-05-01
1954-06-01,0.24632935206920734,-0.3061894216289805,-0.1315324142153688,1954-06-01
1954-07-01,0.6493218243873783,0.44851144465661097,-0.14377724008041115,1954-07-01
1954-08-01,-0.4737914295302703,0.029899445097717966,0.3747913820273761,1954-08-01
1954-09-01,-1.025219934219223,1.0028200640263698,0.6812926059680121,1954-09-01
1954-10-01,-1.0144637807649977,0.6882687312116957,0.618069474921132,1954-10-01
1954-11-01,-0.27524934827727227,-0.42965866046024387,-0.005074765559862493,1954-11-01
1954-12-01,-0.547261091188652,0.22143893230242231,0.2920122751212721,1954-12-01
1955-01-01,-1.5554479888612271,0.5324646695358466,0.810426121090574,1955-01-01
1955-02-01,-0.8800750072620713,0.6928714885447417,0.5598734150260756,1955-02-01
1955-03-01,-0.5958232456582498,-0.09025064760330298,0.006038560763916659,1955-03-01
1955-04-01,-0.807161987501233,0.40386897500705643,0.54775744383162,1955-04-01
1955-05-01,-0.2259830849617943,0.49805303910999604,0.38209961099427586,1955-05-01
1955-06-01,-0.0962140160458501,-0.07189535386194185,0.03146900877763434,1955-06-01
1955-07-01,-0.936135342636707,-0.06420971451722036,0.49903625862764417,1955-07-01
1955-08-01,-1.3092177217387355,0.8588925782411685,0.8131155170609615,1955-08-01
1955-09-01,0.165064753794957,-0.05448259282976796,-0.041756300512395754,1955-09-01
1955-10-01,0.5691348269228417,0.3448394933456604,-0.19400041991517122,1955-10-01
1955-11-01,-0.36195039891092723,0.17836683813688362,0.08767059256349627,1955-11-01
1955-12-01,-0.9058141112086993,0.383054995347966,0.5329701473952495,1955-12-01
1956-01-01,0.7343838661935463,-0.18255049120262637,-0.40691740948482796,1956-01-01
1956-02-01,0.7260458886897964,-0.03899390833383365,-0.31228129243390873,1956-02-01
1956-03-01,-1.1637030593334188,-0.14670471367975352,0.3995818423472534,1956-03-01
1956-04-01,-1.8436921648649045,0.03637129386997625,0.948866047975041,1956-04-01
1956-05-01,0.6923873325643518,0.3473097910864054,-0.2421305096245761,1956-05-01
1956-06-01,0.8563882370127783,-0.24213034277877807,-0.4755630277914199,1956-06-01
1956-07-01,-0.6775283792740198,-0.3589342994995762,0.24442204661550984,1956-07-01
1956-08-01,-1.8542607121444665,0.09262637416903564,0.9335387502796055,1956-08-01
1956-09-01,-0.5274526649928377,0.3701308502495905,0.3935214991206593,1956-09-01
1956-10-01,0.48086384157100487,-0.04512068655086133,-0.18887392798613833,1956-10-01
1956-11-01,-0.9038390059196685,-0.126107080659596,0.470192518627771,1956-11-01
1956-12-01,-0.8181535977905813,0.15495184634345074,0.42626237433759584,1956-12-01
1957-01-01,1.3336198981576222,-0.20726975122354374,-0.6004145712172559,1957-01-01
1957-02-01,0.5131974631444036,0.3006682742949281,-0.2950564299554304,1957-02-01
1957-03-01,-0.2973695893315384,-0.14886865652474918,0.16360672533215195,1957-03-01
1957-04-01,-0.33044535628391286,-0.08558991210574954,0.1940133114424962,1957-04-01
1957-05-01,-0.451301240169303,-0.3671586403508943,0.1944667490168861,1957-05-01
1957-06-01,-1.0244018175006093,-0.21564830980115665,0.5526558225955578,1957-06-01
1957-07-01,-0.7571261215043417,-0.07959555698491166,0.3776646661822797,1957-07-01
1957-08-01,-0.14974468756708745,0.3301028265634239,0.1677607521477158,1957-08-01
1957-09-01,-0.03624232626215663,0.07645618937611914,-0.007217845278912651,1957-09-01
1957-10-01,-0.07586012449822703,-0.2463299592327912,-0.014333058169873332,1957-10-01
1957-11-01,1.8299351114733156,-0.11864546380639428,-0.9162874103286939,1957-11-01
1957-12-01,3.1577842731952717,0.6091318571697126,-1.433029875079752,1957-12-01
1958-01-01,1.7306783194741089,-0.7544294748793133,-0.9359027030546352,1958-01-01
1958-02-01,1.4623106921431177,-1.5310561011681882,-1.1661189148049058,1958-02-01
1958-03-01,1.094290628207543,-0.2708389951746133,-0.46671161779170434,1958-03-01
1958-04-01,1.8472355170344477,-1.0690522262419413,-1.119874211451606,1958-04-01
1958-05-01,0.43570865300235373,-0.4646893746207021,-0.12729827556178636,1958-05-01
1958-06-01,0.11872702945270158,-0.8785123350117803,-0.3683792725079895,1958-06-01
1958-07-01,-2.9135713940309667,1.2169012091814095,1.7508935027055723,1958-07-01
1958-08-01,-4.6895427871568405,2.5183882541926303,2.938832291176166,1958-08-01
